subprefeitura,total_retirado_subpref,qtd_unidades,latitude,longitude
ARICANDUVA/CARRAO/FORMOSA,60485095.0,10,-23.550430052216736,-46.548130291731596
BUTANTA,94558390.0,16,-23.588296096015526,-46.738057832211524
CAMPO LIMPO,122919379.0,22,-23.642683208940728,-46.73572483036189
CAPELA DO SOCORRO,161274492.0,25,-23.720364719421255,-46.70179456104367
CASA VERDE/CACHOEIRINHA,32904208.0,8,-23.51183182164657,-46.66643130337813
CIDADE ADEMAR,100537541.0,20,-23.667415349982917,-46.674452445703004
CIDADE TIRADENTES,77778267.0,14,-23.583051720000892,-46.41631900152808
ERMELINO MATARAZZO,121744560.0,13,-23.507546748924362,-46.47939628433965
FREGUESIA DO Ó/BRASILANDIA,127713490.0,26,-23.47654108642168,-46.665147061049694
GUAIANASES,82534622.0,15,-23.54332354103735,-46.41557085530023
IPIRANGA,93554462.0,10,-23.587309767601738,-46.60304795919856
ITAIM PAULISTA,107209482.0,18,-23.49331634883583,-46.41708274570736
ITAQUERA,121583873.0,20,-23.5302126850067,-46.45865418064269
JABAQUARA,163880577.0,20,-23.64775521581886,-46.6399396634496
JACANA/TREMEMBE,98963447.0,14,-23.468032720724985,-46.58223723036629
LAPA,38459533.0,8,-23.522097228178144,-46.69539851502312
M'BOI MIRIM,144271364.0,26,-23.66734998206765,-46.728466489880475
MOOCA,19747658.0,3,-23.551001980939386,-46.59838612056709
PARELHEIROS,57692080.0,12,-23.81526645666646,-46.735606009797074
PENHA,81519545.0,13,-23.518511626890536,-46.52101281687136
PERUS/ANHANGUERA,78038176.0,14,-23.407068285415424,-46.75309421687395
PINHEIROS,33660283.0,6,-23.56312289083323,-46.70320171317356
PIRITUBA/JAGUARÁ,103802671.0,22,-23.48849965931681,-46.72733521687191
SANTANA/TUCURUVI,59567367.0,10,-23.481274592421936,-46.60366369228914
SANTO AMARO,21553318.0,5,-23.651223287435396,-46.707038761045496
SAPOPEMBA,173599405.0,25,-23.600357569614758,-46.512645359198444
SÃO MATEUS,93811944.0,16,-23.59953750034677,-46.46874487269204
SÃO MIGUEL PAULISTA,41703401.0,7,-23.500360216626017,-46.45127800337821
SÉ,84783016.0,7,-23.5479893124978,-46.634684288035125
VILA GUILHERME/VILA MARIA,59356676.0,8,-23.52155166879476,-46.60413813221306
VILA MARIANA,28162547.0,5,-23.598291372734437,-46.64944998618565
VILA PRUDENTE,54261388.0,6,-23.58259946041313,-46.56132291871817
